Scheme Name	Asset Value
Scheme Name	Net Asset Value
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.1247
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0792
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1627
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1469
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.4830
Franklin India Banking & PSU Debt Fund - Growth	22.4852
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.6201
Franklin India Banking and PSU Debt Fund - IDCW 	10.9916
HDFC Banking and PSU Debt Fund - Growth Option	23.1091
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.0533
HDFC Banking and PSU Debt Fund - IDCW Option	10.3021
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0372
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.5949
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4086
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3519
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.3071
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6842
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3246
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1623
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0910
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7832
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0878
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1049.1004
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2438.2748
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1063.3619
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1022.0616
Invesco India Banking and PSU Fund - Growth Option	2278.2344
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1066.3912
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3566
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3576
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0224
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0235
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
